순위,선수,팀,포지션,경기,선발,이닝,풋아웃,어시스트,실책,병살 처리,수비율,포일,피도루,도루 실패,도루저지율,견제사
75,변상권,키움,우익수,2,0,1,0,0,0,0,0,0,0,0,0,0
75,장재영,키움,우익수,2,1,10,0,0,0,0,0,0,0,0,0,0
75,장재영,키움,좌익수,3,0,5,0,0,0,0,0,0,0,0,0,0
1,최인호,한화,좌익수,20,9,95,13,0,0,0,1,0,0,0,0,0
1,문현빈,한화,중견수,4,1,14,3,1,0,0,1,0,0,0,0,0
1,이진영,한화,중견수,3,2,15,3,0,0,0,1,0,0,0,0,0
1,이진영,한화,좌익수,7,5,52,14,1,0,0,1,0,0,0,0,0
1,이원석,한화,중견수,36,20,216,55,0,0,0,1,0,0,0,0,0
1,이원석,한화,우익수,61,24,279,50,4,0,1,1,0,0,0,0,0
1,이승현,한화,유격수,2,0,2,2,0,0,0,1,0,0,0,0,0
1,이민재,한화,우익수,1,1,5,1,0,0,0,1,0,0,0,0,0
1,이도윤,한화,3루수,7,1,24,2,0,0,0,1,0,0,0,0,0
1,이도윤,한화,1루수,4,0,5,7,0,0,0,1,0,0,0,0,0
1,손아섭,한화,좌익수,12,8,47,15,1,0,1,1,0,0,0,0,0
1,손아섭,한화,우익수,46,42,314,68,0,0,0,1,0,0,0,0,0
1,최인호,한화,우익수,7,0,16,3,1,0,0,1,0,0,0,0,0
1,권광민,한화,1루수,6,1,20,17,1,0,1,1,0,0,0,0,0
1,문현빈,한화,2루수,1,0,1,0,1,0,1,1,0,0,0,0,0
1,유로결,한화,중견수,4,0,13,2,1,0,0,1,0,0,0,0,0
1,유로결,한화,우익수,2,1,13,3,0,0,0,1,0,0,0,0,0
1,안치홍,한화,1루수,1,1,6,4,0,0,0,1,0,0,0,0,0
1,플로리얼,한화,좌익수,2,1,11,3,1,0,0,1,0,0,0,0,0
1,이상혁,한화,좌익수,6,0,12,5,0,0,0,1,0,0,0,0,0
1,이상혁,한화,우익수,9,0,19,2,0,0,0,1,0,0,0,0,0
1,이상혁,한화,중견수,9,0,14,4,0,0,0,1,0,0,0,0,0
1,장규현,한화,포수,1,0,2,3,0,0,0,1,0,0,0,0,0
1,하주석,한화,1루수,1,0,1,1,0,0,1,1,0,0,0,0,0
25,최재훈,한화,포수,121,107,813,856,68,5,8,0.995,8,58,18,23.7,1
26,하주석,한화,유격수,61,48,407,59,103,1,21,0.994,0,0,0,0,0
27,채은성,한화,1루수,113,112,929,816,31,6,59,0.993,0,0,0,0,0
28,이도윤,한화,2루수,64,45,380,73,120,2,21,0.99,0,0,0,0,0
29,허인서,한화,포수,19,2,65,78,8,1,1,0.989,1,3,5,62.5,0
29,김태연,한화,1루수,56,26,294,249,27,3,21,0.989,0,0,0,0,0
31,하주석,한화,2루수,28,27,197,33,51,1,10,0.988,0,0,0,0,0
32,이재원,한화,포수,98,35,409,406,33,6,4,0.987,2,35,8,18.6,0
33,이진영,한화,우익수,94,81,642,127,3,2,0,0.985,0,0,0,0,0
34,김태연,한화,우익수,35,23,198,49,5,1,2,0.982,0,0,0,0,0
35,황영묵,한화,2루수,107,61,627,118,187,6,35,0.981,0,0,0,0,0
36,심우준,한화,유격수,91,81,685,140,201,7,40,0.98,0,0,0,0,0
36,문현빈,한화,좌익수,105,104,876,137,8,3,0,0.98,0,0,0,0,0
38,리베라토,한화,중견수,58,58,479,125,7,3,1,0.978,0,0,0,0,0
39,안치홍,한화,2루수,12,11,81,15,28,1,5,0.977,0,0,0,0,0
39,이도윤,한화,유격수,43,15,195,29,56,2,7,0.977,0,0,0,0,0
41,김태연,한화,좌익수,30,23,178,30,1,1,0,0.969,0,0,0,0,0
