순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
21,육선엽,삼성,5.34,27,0,1,0,1,0,28.7,23,4,24,0,19,21,17,1.64,0,0,0,133,564,2,0,0,0.217,1,0,0,8,2,0,3,28,36,0.229,0.362,0.358,0.72,0.78,20.9,19.7,5.97,7.53,0.79,6.23,118.4,146.3,-0.2,14.3,18,0,1.19,6.82,62.8
22,이승현,삼성,5.42,25,4,9,0,0,0.308,101.3,121,10,46,9,74,64,61,1.65,0,0,2,471,1840,2,0,0,0.298,23,4,0,0,0,0,7,115,99,0.342,0.379,0.438,0.817,1.16,73.6,18.2,6.57,4.09,1.61,4.83,126.4,113.5,1.2,15.7,9.8,0,0.88,10.68,69.1
23,이승현,삼성,6.31,42,2,1,0,11,0.667,35.7,43,9,11,1,29,26,25,1.51,0,0,0,161,648,1,0,1,0.303,0,0,2,7,9,0,0,29,42,0.324,0.355,0.542,0.897,0.69,15.4,18.2,7.32,2.78,2.64,5.94,141.5,139.4,-0.2,18,6.8,0,2.17,10.37,68.4
24,이호성,삼성,6.34,58,7,4,9,3,0.636,55.3,54,7,29,2,69,44,39,1.5,0,0,0,252,1032,0,1,4,0.252,0,0,7,24,17,1,5,41,54,0.331,0.341,0.402,0.743,0.76,17.8,18.7,11.22,4.72,2.38,4.21,147.2,99,-0.1,27.4,11.5,52.9,1.13,8.68,54.5
25,황동재,삼성,6.97,15,0,1,0,0,0,20.7,27,1,14,2,22,16,16,1.98,0,0,0,104,403,3,0,0,0.31,1,0,0,5,0,0,1,22,17,0.4,0.413,0.368,0.781,1.29,26.9,19.5,9.58,6.1,1.57,4.15,151.4,97.6,0,21.2,13.5,0,0.4,10.88,64.9
26,오승환,삼성,8,12,0,0,0,0,0,9,15,1,3,0,7,8,8,2,0,0,0,45,173,1,0,0,0.366,0,0,0,4,1,0,0,10,10,0.412,0.4,0.561,0.961,1,14.4,19.2,7,3,2.33,4.28,187.9,100.5,0,15.6,6.7,0,1,15,60.2
27,최성훈,삼성,9,2,0,0,0,0,0,1,1,0,1,0,1,1,1,2,0,0,0,5,20,0,0,0,0.25,0,0,0,1,0,0,0,1,1,0.333,0.4,0.25,0.65,1,10,20,9,9,1,4.39,211.3,103.2,0,20,20,0,0,9,50
28,정민성,삼성,36,1,0,1,0,0,0,1,3,0,0,2,0,4,4,3,0,0,0,7,23,1,0,0,0.6,1,0,0,0,0,0,0,0,2,0.6,0.714,1.4,2.114,0,23,23,0,0,0,9.39,845.4,220.6,-0.1,0,0,0,0,27,20
29,최충연,삼성,37.8,4,0,0,0,0,0,1.7,7,1,2,1,1,8,7,5.4,0,0,0,15,60,0,0,0,0.583,0,0,0,1,0,0,0,2,2,0.6,0.667,0.917,1.584,1,15,36,5.4,10.8,0.5,9.39,443.8,220.6,-0.3,6.7,13.3,0,2.7,18.9,23.3
1,주승우,키움,2.45,42,2,2,16,5,0.5,44,35,7,17,2,35,13,12,1.18,0,0,0,179,713,1,0,4,0.222,0,0,2,25,25,1,6,37,51,0.241,0.305,0.361,0.666,0.73,17,16.2,7.16,3.48,2.06,5.17,57.6,121.3,0.3,19.6,9.5,64,1.43,7.16,92.8
2,웰스,키움,3.15,4,1,1,0,0,0.5,20,18,0,6,1,16,8,7,1.2,0,0,2,85,329,0,0,0,0.234,4,1,0,0,0,0,1,18,26,0.29,0.294,0.273,0.567,0.69,82.3,16.5,7.2,2.7,2.67,2.84,74,66.8,0.5,18.8,7.1,0,0,8.1,68
3,로젠버그,키움,3.23,13,4,4,0,0,0.5,75.3,63,5,25,4,80,33,27,1.17,0,0,6,320,1265,2,0,0,0.22,13,4,0,0,0,0,2,69,76,0.286,0.29,0.331,0.621,0.91,97.3,16.8,9.56,2.99,3.2,3.29,75.1,77.2,1.5,25,7.8,0,0.59,7.46,69.4
4,알칸타라,키움,3.27,19,8,4,0,0,0.667,121,125,11,10,4,92,50,44,1.12,0,0,14,492,1796,3,0,0,0.267,19,8,0,0,0,0,7,125,130,0.309,0.286,0.392,0.678,0.96,94.5,14.8,6.84,0.74,9.2,3.4,76.9,79.9,2.4,18.7,2,0,0.82,9.3,72
5,오석주,키움,3.7,53,2,1,0,7,0.667,58.3,52,4,29,7,44,24,24,1.39,0,0,0,252,1032,3,0,1,0.249,0,0,2,15,7,0,7,61,56,0.291,0.353,0.344,0.697,1.09,19.5,17.7,6.79,4.47,1.52,4.61,86,108.3,0.2,17.5,11.5,0,0.61,7.93,77.7
6,메르세데스,키움,4.47,8,3,3,0,0,0.5,46.3,54,5,9,0,41,24,23,1.36,0,0,2,197,764,2,1,0,0.292,8,3,0,0,0,0,4,52,39,0.35,0.323,0.438,0.761,1.33,95.5,16.5,7.96,1.75,4.56,3.61,103.4,84.7,0.6,20.8,4.6,0,0.96,10.34,69.6
7,박윤성,키움,4.53,54,0,5,1,6,0,51.7,55,9,19,1,40,31,26,1.43,0,0,0,226,905,4,1,3,0.271,0,0,0,11,6,0,4,43,65,0.299,0.336,0.463,0.799,0.66,16.8,17.5,6.97,3.31,2.11,5.21,103,122.4,-0.6,17.7,8.4,16.7,1.52,9.28,70.5
8,김성민,키움,4.68,29,0,3,0,1,0,25,25,1,13,5,18,15,13,1.52,0,0,0,113,397,0,0,1,0.272,0,0,0,5,2,0,4,28,22,0.324,0.387,0.402,0.789,1.27,13.7,15.9,6.48,4.68,1.38,4.63,109.9,108.8,-0.2,15.9,11.5,0,0.36,9,67.3
9,하영민,키움,4.99,28,7,14,0,0,0.333,153.3,169,13,41,9,134,90,85,1.37,0,0,14,669,2506,7,0,0,0.278,28,7,0,0,0,0,8,144,164,0.336,0.331,0.399,0.73,0.88,89.5,16.3,7.87,2.41,3.27,3.72,116.7,87.5,1.4,20,6.1,0,0.76,9.88,64.2
10,윤석원,키움,5.54,37,1,1,0,8,0.5,37.3,41,3,12,2,27,23,23,1.42,0,0,0,160,623,0,0,1,0.285,0,0,1,10,9,0,3,31,46,0.33,0.346,0.451,0.797,0.67,16.8,16.7,6.51,2.89,2.25,4.1,127.9,96.4,-0.2,16.9,7.5,0,0.71,9.71,63
11,김선기,키움,5.65,44,1,7,0,2,0.125,78,96,6,47,11,43,55,49,1.83,0,0,0,381,1391,2,0,0,0.305,8,0,1,7,0,0,5,76,105,0.332,0.407,0.416,0.823,0.72,31.6,17.8,4.96,5.42,0.91,5.52,132.8,129.7,-1.3,11.3,12.3,0,0.69,11.08,68
12,조영건,키움,5.68,51,5,5,8,7,0.5,77.7,84,12,38,4,47,51,49,1.57,0,0,0,353,1330,5,0,2,0.275,6,0,5,16,17,1,7,58,120,0.288,0.359,0.459,0.818,0.48,26.1,17.1,5.45,4.4,1.24,5.76,130.5,135.3,-1.2,13.3,10.8,47.1,1.36,9.53,68.7
13,정현우,키움,5.86,18,3,7,0,0,0.3,81.3,92,8,48,6,55,63,53,1.72,0,0,3,384,1496,4,2,0,0.287,18,3,0,0,0,0,6,81,99,0.318,0.383,0.424,0.807,0.82,83.1,18.4,6.09,5.31,1.15,5.3,136.6,124.4,-0.7,14.3,12.5,0,0.88,10.1,61.6
14,원종현,키움,6.13,61,2,4,5,11,0.333,54.3,68,5,18,3,40,42,37,1.58,0,0,0,248,931,6,0,6,0.313,0,0,2,13,22,1,3,63,49,0.36,0.369,0.438,0.807,1.29,15.3,17.1,6.63,2.98,2.22,4.27,142.2,100.2,-0.8,16.1,7.3,22.7,0.82,11.13,57.3
15,김윤하,키움,6.14,19,0,12,0,0,0,88,113,16,44,3,52,76,60,1.78,0,0,4,422,1645,2,0,1,0.309,18,0,0,0,1,0,3,68,137,0.321,0.384,0.5,0.884,0.5,86.6,18.7,5.32,4.5,1.18,6.18,144.1,145.1,-1.6,12.3,10.4,0,1.64,11.56,61
16,이강준,키움,6.57,29,0,3,0,2,0,24.7,29,3,17,2,26,22,18,1.86,0,0,0,119,492,2,0,0,0.296,0,0,0,3,2,0,2,28,15,0.377,0.41,0.439,0.849,1.87,17,19.9,9.49,6.2,1.53,5.06,144.5,118.9,-0.6,21.8,14.3,0,1.03,9.91,59.4
17,박주성,키움,6.58,18,2,3,0,1,0.4,52,63,9,16,3,26,40,38,1.52,0,0,2,235,865,2,0,0,0.3,6,1,1,5,1,0,4,71,54,0.302,0.352,0.5,0.852,1.31,48.1,16.6,4.5,2.77,1.63,5.74,154.4,134.8,-1,11.1,6.8,0,1.56,10.9,60.5
18,김연주,키움,6.62,20,1,3,0,0,0.25,51.7,67,10,25,6,28,40,38,1.78,0,0,0,250,939,0,0,0,0.316,8,1,0,1,0,0,1,47,75,0.318,0.395,0.542,0.937,0.63,47,18.2,4.88,4.35,1.12,6.52,150.6,153.2,-1.2,11.2,10,0,1.69,11.31,69
19,김동규,키움,6.75,9,0,0,0,0,0,8,13,2,11,0,10,11,6,3,0,0,0,49,203,4,0,0,0.342,0,0,0,6,1,0,0,5,10,0.423,0.49,0.526,1.016,0.5,22.6,25.4,11.25,12.38,0.91,8.27,158.5,194.2,-0.5,20.4,22.4,0,2.25,14.63,61.3
20,박정훈,키움,7.43,16,0,1,1,0,0,23,24,1,20,4,7,24,19,1.91,0,0,0,116,450,3,0,0,0.276,3,0,0,8,1,0,4,40,20,0.277,0.417,0.379,0.796,2,28.1,19.6,2.74,7.83,0.35,6.48,174.6,152.2,-0.9,6,17.2,100,0.39,9.39,51.5
21,양지율,키움,8.36,18,0,2,0,1,0,14,18,3,7,3,10,13,13,1.79,0,0,0,69,268,1,0,0,0.305,0,0,0,4,1,0,1,15,16,0.326,0.406,0.542,0.948,0.94,14.9,19.1,6.43,4.5,1.43,6.89,196.2,161.9,-0.5,14.5,10.1,0,1.93,11.57,63
22,윤현,키움,8.59,17,2,1,0,0,0.667,22,31,2,23,5,15,28,21,2.45,0,0,0,125,514,5,0,1,0.326,3,0,2,0,3,0,1,15,36,0.363,0.472,0.453,0.925,0.42,30.2,23.4,6.14,9.41,0.65,7.03,201.7,165.1,-1.2,12,18.4,0,0.82,12.68,55.2
23,이준우,키움,8.61,31,1,4,0,3,0.2,23,37,6,12,1,22,23,22,2.13,0,0,0,118,469,0,0,0,0.359,0,0,1,4,3,0,1,22,22,0.413,0.431,0.621,1.052,1,15.1,20.4,8.61,4.7,1.83,6.57,202.2,154.2,-0.9,18.6,10.2,0,2.35,14.48,64.9
24,전준표,키움,8.85,21,2,2,0,1,0.5,20.3,33,2,19,3,15,22,20,2.56,0,0,0,114,400,3,0,0,0.375,1,0,2,4,2,0,2,18,23,0.431,0.495,0.534,1.029,0.78,19,19.7,6.64,8.41,0.79,6.35,201.3,149,-0.8,13.2,16.7,0,0.86,14.14,63.2
25,손힘찬,키움,11.25,4,0,0,0,0,0,4,5,0,4,1,4,5,5,2.25,0,0,0,22,84,1,0,0,0.294,0,0,0,2,0,0,0,2,6,0.385,0.455,0.412,0.867,0.33,21,21,9,9,1,5.14,264.2,120.8,-0.2,18.2,18.2,0,0,11.25,50
26,손현기,키움,15,2,0,0,0,0,0,3,4,1,6,1,1,5,5,3.33,0,0,0,18,78,1,0,0,0.364,0,0,0,0,0,0,2,3,3,0.333,0.611,0.727,1.338,1,39,26,3,18,0.17,14.06,352.2,330.2,-0.3,5.6,33.3,0,3,12,62.5
27,정세영,키움,16.88,4,0,1,0,0,0,2.7,9,0,4,0,2,6,5,4.88,0,0,0,22,84,1,0,0,0.5,1,0,0,1,0,0,0,1,6,0.563,0.591,0.611,1.202,0.17,21,31.5,6.75,13.5,0.5,5.24,243.9,123,-0.2,9.1,18.2,0,0,18.69,53.8
28,김서준,키움,20.25,4,0,0,0,0,0,5.3,14,2,5,0,4,12,12,3.56,0,0,0,34,123,1,0,0,0.5,0,0,0,2,0,0,1,5,6,0.522,0.559,0.893,1.452,0.83,30.8,23.1,6.75,8.44,0.8,8.89,422.7,208.8,-0.6,11.8,14.7,0,3,21,43.2
29,임진묵,키움,24.55,4,0,0,0,0,0,3.7,10,0,5,1,3,11,10,4.09,0,0,0,28,108,1,0,0,0.476,0,0,0,2,0,0,0,3,6,0.526,0.571,0.667,1.238,0.5,27,29.5,7.36,12.27,0.6,5.64,396.3,132.5,-0.4,10.7,17.9,0,0,16.88,31.3
1,폰세,한화,1.89,29,17,1,0,0,0.944,180.7,128,10,41,6,252,41,38,0.94,0,0,20,697,2854,7,3,0,0.199,29,17,0,0,0,0,14,145,122,0.306,0.252,0.274,0.526,1.19,98.4,15.8,12.55,2.04,6.15,2.12,44,49.7,7.7,36.2,5.9,0,0.49,6.32,83.2
2,김범수,한화,2.25,73,2,1,2,6,0.667,48,30,0,22,4,41,17,12,1.08,0,0,0,195,780,1,0,0,0.181,0,0,2,9,14,2,6,48,48,0.238,0.29,0.211,0.501,1,10.7,16.3,7.69,4.13,1.86,3.31,52.8,77.7,0.7,21,11.3,14.3,0,5.63,69.6
2,한승혁,한화,2.25,71,3,3,3,16,0.5,64,56,4,23,7,53,18,16,1.23,0,0,0,269,1002,3,0,5,0.236,0,0,3,10,28,1,4,79,49,0.289,0.322,0.316,0.638,1.61,14.1,15.7,7.45,3.23,2.3,3.96,52.8,92.9,1,19.7,8.6,10.7,0.56,7.88,84.6
4,정우주,한화,2.85,51,3,0,0,3,1,53.7,34,6,21,10,82,18,17,1.02,0,0,0,228,1007,3,1,0,0.177,2,0,3,15,5,0,0,27,51,0.264,0.289,0.313,0.602,0.53,19.7,18.8,13.75,3.52,3.9,3.52,64.9,82.6,0.8,36,9.2,0,0.98,5.53,83
5,와이스,한화,2.87,30,16,5,0,0,0.762,178.7,127,13,56,13,207,63,57,1.02,0,0,21,725,2837,5,2,0,0.197,30,16,0,0,0,0,7,168,150,0.264,0.272,0.307,0.579,1.12,94.6,15.9,10.43,2.82,3.7,3.18,66.8,74.7,4.8,28.6,7.7,0,0.65,6.34,74.8
6,김기중,한화,3.07,5,0,1,0,0,0,14.7,16,0,6,1,8,5,5,1.5,0,0,0,66,259,1,0,0,0.276,2,0,0,2,0,0,1,17,18,0.314,0.348,0.345,0.693,0.94,51.8,17.7,4.91,3.68,1.33,3.7,64.7,86.9,0.3,12.1,9.1,0,0,8.82,78.3
7,김서현,한화,3.14,69,2,4,33,2,0.333,66,52,4,31,8,71,23,23,1.26,0,0,0,280,1124,7,0,4,0.222,0,0,2,52,38,2,4,62,51,0.298,0.331,0.329,0.66,1.22,16.3,17,9.68,4.23,2.29,3.8,73.7,89.3,0.9,25.4,11.1,86.8,0.55,7.09,79.6
8,류현진,한화,3.23,26,9,7,0,0,0.563,139.3,144,12,25,4,122,54,50,1.21,0,0,12,574,2268,2,0,0,0.267,26,9,0,0,0,0,13,156,118,0.325,0.304,0.385,0.689,1.32,87.2,16.3,7.88,1.61,4.88,3.39,75.5,79.5,3.3,21.3,4.4,0,0.77,9.26,76.2
9,김종수,한화,3.25,63,4,5,0,5,0.444,63.7,57,5,36,4,59,30,23,1.46,0,0,0,282,1104,2,1,0,0.245,0,0,4,10,5,0,4,50,72,0.299,0.349,0.391,0.74,0.69,17.5,17.3,8.34,5.09,1.64,4.42,74.4,103.8,0.2,20.9,12.8,0,0.69,7.85,74.4
10,박준영,한화,3.6,1,0,0,0,0,0,5,3,0,6,0,3,2,2,1.8,0,0,0,24,110,0,0,0,0.176,1,0,0,0,0,0,0,3,9,0.2,0.375,0.176,0.551,0.33,110,22,5.4,10.8,0.5,5.79,84.5,136,0,12.5,25,0,0,5.4,77.8
11,윤산흠,한화,3.78,12,0,0,0,0,0,16.7,16,1,5,3,17,7,7,1.26,0,0,0,73,268,1,1,0,0.246,1,0,0,4,0,0,2,21,11,0.319,0.329,0.369,0.698,1.91,22.3,16.1,9.18,2.7,3.4,3.56,80.7,83.5,0.2,23.3,6.8,0,0.49,7.85,75.2
12,이태양,한화,3.97,14,0,1,0,0,0,11.3,14,0,5,1,8,5,5,1.68,0,0,0,51,181,0,0,1,0.318,0,0,0,4,1,0,1,11,11,0.389,0.4,0.432,0.832,1,12.9,16,6.35,3.97,1.6,3.56,88.1,83.6,0.1,15.7,9.8,0,0,10.5,75
13,문동주,한화,4.02,24,11,5,0,0,0.688,121,112,7,31,3,135,57,54,1.18,1,0,11,501,1947,11,0,0,0.243,23,11,0,2,0,0,2,109,108,0.326,0.293,0.346,0.639,1.01,81.1,16.1,10.04,2.31,4.35,2.76,94.3,64.7,2.7,26.9,6.2,0,0.52,8.33,65.3
14,조동욱,한화,4.05,68,3,3,2,5,0.5,60,77,4,29,4,43,29,27,1.77,0,0,0,283,1068,7,1,1,0.313,2,1,2,12,9,2,10,75,53,0.363,0.391,0.427,0.818,1.42,15.7,17.8,6.45,4.35,1.48,4.48,95.1,105.1,0.1,15.2,10.2,22.2,0.6,11.55,77.6
15,박상원,한화,4.19,74,4,3,0,16,0.571,66.7,67,4,21,8,52,35,31,1.32,0,0,0,294,1128,4,0,3,0.261,0,0,4,1,32,0,1,64,78,0.307,0.331,0.37,0.701,0.82,15.2,16.9,7.02,2.84,2.48,3.91,95.9,91.7,0.2,17.7,7.1,0,0.53,8.82,67.5
16,주현상,한화,5.18,48,5,2,1,3,0.714,41.7,59,8,10,3,37,25,24,1.66,0,0,0,193,776,1,0,2,0.331,0,0,5,10,8,0,2,36,46,0.383,0.377,0.567,0.944,0.78,16.2,18.6,7.99,2.16,3.7,4.99,117.1,117.1,-0.3,19.2,5.2,12.5,1.66,12.25,77.3
17,황준서,한화,5.3,23,2,8,0,0,0.2,56,54,7,26,2,57,37,33,1.43,0,0,2,242,1012,1,0,0,0.255,12,1,1,1,2,0,3,53,50,0.313,0.339,0.443,0.782,1.06,44,18.1,9.16,4.18,2.19,4.48,124.5,105.3,-0.1,23.6,10.7,0,1.13,8.68,62.3
18,엄상백,한화,6.58,28,2,7,0,1,0.222,80.7,106,13,38,8,74,60,59,1.79,0,0,2,379,1540,3,0,0,0.324,16,1,1,0,1,0,5,62,88,0.383,0.404,0.517,0.921,0.7,55,19.1,8.26,4.24,1.95,5.32,151.4,125,-0.8,19.5,10,0,1.42,11.59,68.8
19,이상규,한화,8,5,0,1,0,0,0,9,16,0,4,0,5,9,8,2.22,0,0,0,47,155,0,0,0,0.372,0,0,0,4,0,0,1,12,10,0.421,0.426,0.465,0.891,1.2,31,17.2,5,4,1.25,3.62,187.9,84.9,-0.2,10.6,8.5,0,0,16,55
20,권민규,한화,8.44,5,0,0,0,0,0,5.3,5,1,7,0,4,5,5,2.25,0,0,0,28,129,0,0,0,0.25,0,0,0,2,0,0,0,4,8,0.25,0.429,0.45,0.879,0.5,25.8,24.2,6.75,11.81,0.57,7.73,176.1,181.4,-0.2,14.3,25,0,1.5,7.5,66
21,강재민,한화,9,4,0,0,0,0,0,4,6,1,2,1,5,4,4,2,0,0,0,20,92,0,0,0,0.375,0,0,0,3,0,0,0,1,5,0.455,0.45,0.625,1.075,0.2,23,23,11.25,4.5,2.5,6.39,211.3,150.1,-0.1,25,10,0,2.25,13.5,65.8
22,원종혁,한화,16.2,2,0,0,0,0,0,1.7,3,1,2,0,1,3,3,3,0,0,0,10,37,0,0,0,0.429,0,0,0,1,0,0,0,0,4,0.333,0.5,0.857,1.357,0,18.5,22.2,5.4,10.8,0.5,8.49,190.2,199.4,-0.1,10,20,0,2.7,8.1,55.6
23,김승일,한화,23.63,5,0,0,0,0,0,2.7,3,1,3,3,3,7,7,2.25,0,0,0,17,68,1,0,0,0.273,0,0,0,2,0,0,0,2,3,0.286,0.529,0.545,1.074,0.67,13.6,25.5,10.13,10.13,1,9.16,341.4,215.2,-0.3,17.6,17.6,0,2.08,6.23,26.3
