순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
15,소이현,NC,5.63,7,0,0,0,0,0,8,5,0,7,1,3,5,5,1.5,0,0,0,36,140,2,0,0,0.192,0,0,0,4,0,0,1,7,12,0.208,0.371,0.231,0.602,0.58,20,17.5,3.38,7.88,0.43,5.64,132.1,132.5,0,8.3,19.4,0,0,5.63,61.5
16,목지훈,NC,6.05,16,3,5,0,0,0.375,58,68,6,42,5,45,42,39,1.9,0,0,1,280,1115,9,2,0,0.298,15,3,0,0,0,0,3,60,58,0.344,0.414,0.439,0.853,1.03,69.7,19.2,6.98,6.52,1.07,5.62,142.1,131.9,0.4,16.1,15,0,0.93,10.55,68.5
17,김재열,NC,6.23,22,0,0,0,2,0,21.7,32,5,16,1,16,16,15,2.22,0,0,0,111,402,2,0,0,0.356,0,0,0,10,3,0,2,20,24,0.38,0.45,0.611,1.061,0.83,18.3,18.6,6.65,6.65,1,6.99,135.9,164.2,-0.2,14.4,14.4,0,1.93,12.34,78.6
17,최성영,NC,6.23,35,2,2,0,4,0.5,47.7,62,6,28,3,33,33,33,1.89,0,0,0,228,921,2,1,0,0.33,6,1,1,2,4,0,8,53,45,0.364,0.415,0.516,0.931,1.18,26.3,19.3,6.23,5.29,1.18,5.52,141.4,129.7,0,14.5,12.3,0,1.09,11.31,70.9
19,김녹원,NC,6.56,21,3,4,0,1,0.429,70,75,10,47,3,37,53,51,1.74,0,0,0,327,1290,4,0,0,0.277,16,3,0,1,0,0,7,67,93,0.289,0.388,0.443,0.831,0.72,61.4,18.4,4.76,6.04,0.79,6.34,154,148.8,0,11.3,14.4,0,1.29,9.64,64.9
20,하준영,NC,6.75,10,1,1,0,1,0.5,5.3,10,0,7,0,5,4,4,3.19,0,0,0,33,126,0,0,0,0.385,0,0,1,2,0,0,1,4,7,0.476,0.515,0.538,1.053,0.57,12.6,23.6,8.44,11.81,0.71,5.23,140.9,122.7,0,15.2,21.2,0,0,15,76.5
21,조민석,NC,6.92,6,0,1,0,0,0,13,12,3,11,2,4,10,10,1.77,0,0,0,61,258,2,0,0,0.25,2,0,0,1,0,0,3,16,16,0.22,0.41,0.479,0.889,1,43,19.8,2.77,7.62,0.36,8.78,162.6,206.1,-0.2,6.6,18,0,2.08,8.31,72.1
22,이준혁,NC,7.3,25,1,3,0,0,0.25,37,43,8,20,6,30,33,30,1.7,0,0,0,170,699,4,0,0,0.305,3,0,1,5,1,0,9,39,30,0.337,0.411,0.539,0.95,1.3,28,18.9,7.3,4.86,1.5,6.69,171.4,157.1,-0.5,17.6,11.8,0,1.95,10.46,62.3
23,신영우,NC,7.53,8,1,3,0,0,0.25,14.3,8,2,16,3,19,13,12,1.67,0,0,0,68,307,4,0,0,0.174,3,0,1,2,0,0,0,10,11,0.222,0.403,0.348,0.751,0.91,38.4,21.4,11.93,10.05,1.19,6.39,169.1,150.1,-0.1,27.9,23.5,0,1.2,4.8,57.9
24,김민규,NC,7.71,7,0,0,0,1,0,4.7,5,0,4,0,2,4,4,1.93,0,0,0,23,96,0,0,0,0.278,0,0,0,1,0,0,0,7,5,0.294,0.391,0.389,0.78,1.4,13.7,20.6,3.86,7.71,0.5,4.66,133.5,109.3,0,8.7,17.4,0,0,7.11,55.6
