주차장명,소재지지번주소,주차구획수,규모구분,fee_type,동이름
신천동로(대현동),대구광역시 북구 대현동 524,11,소형,,대현동
신천동로146길인근,대구광역시 북구 대현동 524,12,소형,,대현동
신천동로148길인근,대구광역시 북구 대현동 524,15,소형,,대현동
연암공원로10길인근,대구광역시 북구 산격동 1436-10,16,소형,,산격동
연암공원로14길인근,대구광역시 북구 산격동 1186-111,10,소형,,산격동
연암공원로28길인근,대구광역시 북구 산격동 1499-2,4,소형,,산격동
연암공원로32길인근,대구광역시 북구 산격동 1203-12,34,중형,,산격동
연암공원로인근,대구광역시 북구 산격동 975-2,15,소형,,산격동
연암로인근,대구광역시 북구 산격동 796-37,48,중형,,산격동
영송로인근,대구광역시 북구 태전동 950,8,소형,,태전동
오봉로10길인근,대구광역시 북구 노원동1가 273,13,소형,,노원동1가
오봉로1길인근,대구광역시 북구 노원동2가 1,12,소형,,노원동2가
오봉로1길인근(보성아파트),대구광역시 북구 노원동2가 1,11,소형,,노원동2가
오봉로3길인근,대구광역시 북구 노원동2가 1,10,소형,,노원동2가
오봉로6길인근,대구광역시 북구 노원동1가 273,18,소형,,노원동1가
오봉로7길인근,대구광역시 북구 노원동2가 1,19,소형,,노원동2가
오봉로인근,대구광역시 북구 노원동3가 1208,135,대형,,노원동3가
옥산로3길인근,대구광역시 북구 노원동1가 271,10,소형,,노원동1가
옥산로5길인근,대구광역시 북구 노원동1가 529,28,중형,,노원동1가
옥산로9길인근,대구광역시 북구 노원동1가 15-19,28,중형,,노원동1가
옥산로인근(북구),대구광역시 북구 고성동3가 143,25,중형,,고성동3가
원대로19길인근,대구광역시 북구 노원동1가 382,25,중형,,노원동1가
원대로21길인근,대구광역시 북구 노원동1가 529,12,소형,,노원동1가
원대로23길인근,대구광역시 북구 노원동1가 19-9,4,소형,,노원동1가
원대로25길인근,대구광역시 북구 노원동1가 19-6,31,중형,,노원동1가
유통단지로21길인근,대구광역시 북구 산격동 1580,42,중형,,산격동
중앙대로105길인근,대구광역시 북구 칠성동2가 351-9,17,소형,,칠성동2가
중앙대로118길인근,대구광역시 북구 침산동 101-3,19,소형,,침산동
지하철대구역인근,대구광역시 북구 칠성동2가 302-338,9,소형,,칠성동2가
청운로인근,대구광역시 북구 침산동 1693-1,7,소형,,침산동
칠곡중앙대로105길인근,대구광역시 북구 읍내동 1304,75,대형,,읍내동
칠곡중앙대로75길인근,대구광역시 북구 태전동 962,15,소형,,태전동
칠곡중앙대로77길인근,대구광역시 북구 태전동 944,73,대형,,태전동
칠곡중앙대로80길인근,대구광역시 북구 태전동 1002,30,중형,,태전동
칠곡중앙대로86길인근,대구광역시 북구 읍내동 1378,39,중형,,읍내동
칠곡중앙대로91길인근,대구광역시 북구 관음동 1359,17,소형,,관음동
칠곡중앙대로인근,대구광역시 북구 읍내동 794-1,56,대형,,읍내동
칠성공구상가앞,대구광역시 북구 칠성동1가 279-1,8,소형,,칠성동1가
칠성교북편,대구광역시 북구 대현동 389,10,소형,,대현동
칠성꽃시장,대구광역시 북구 칠성동2가 302-94,23,중형,,칠성동2가
칠성남로16길인근,대구광역시 북구 칠성동2가 302-93,61,대형,,칠성동2가
